Simulation	const ed num Emergency Room	const mipw time Treatment LOS[mbed2]	const mipw time Treatment LOS[mbed3]	const sipw time Treatment LOS[mbed2]	const sipw time Treatment LOS[mbed3]	const surg num PostOp Beds	edMeanValue ppd	init L MEDBED AVAIL[mbed1]	init L MEDBED AVAIL[mbed2]	init L MEDBED AVAIL[mbed3]	init L SURGBED AVAIL[mbed1]	init L SURGBED AVAIL[mbed2]	init L SURGBED AVAIL[mbed3]	init L SURGERY OR AVAIL	isuMeanValue ppd	osuMeanValue ppd	f1pcntEDLWBS	f2pcntEDRMBLKD	f3timeEDdischarge	f4timeEDadmission	f5pcntSUcompletion	f6timeSUcompletion	f7numICUoccupy	f8numPCUoccupy	f9numACUoccupy	yOEE1avail	yOEE1c	yOEE1perf	yOEE1qual
163	13	28.35	57.12	21.546	86.304	9	27.89	8	8	21	15	14	13	6	18.352	12.88	0	0.014274386	3.516991429	4.51606	0.243951	44.09611429	35872285.71	18991857.14	1502367.143	0.984844714	0.812378	1.222435714	0.680239857
164	9	35.01	104.544	20.466	97.056	11	34.31	8	8	20	9	12	14	2	17.456	19.888	0.198239143	0.539556714	4.947461429	30.96074286	0.210201857	24.45984286	33908642.86	16726957.14	2236421.429	0.432008	0.137436857	0.716276	0.450493857
165	16	31.806	119.52	23.022	124.32	6	24.23	9	12	21	5	8	17	4	8.208	12.912	0	0.0100758	3.536265714	4.53555	0.4373	23.53892857	32704914.29	18312271.43	998227.4286	0.989300429	0.815157714	1.219241429	0.681425571
166	22	28.314	96.672	33.282	119.52	9	21.41	13	12	49	15	11	47	5	9.136	7.76	0	0.006475003	3.583017143	4.583254286	0.99992	2.758838571	34872885.71	12103585.71	14339485.71	0.993125	0.815779429	1.210901429	0.684502714
167	23	34.038	49.632	35.046	128.736	7	48.77	6	13	27	15	13	22	3	13.808	16.208	0	0.0141085	3.47312	4.471882857	0.257515714	29.91671429	33184542.86	13605442.86	20992.71429	0.984949429	0.815194429	1.230202857	0.677650143
168	19	18.054	143.52	29.646	55.2	10	48.17	12	10	36	8	14	35	5	14.704	8.336	0.133215857	0.612986714	4.615892857	45.66775714	0.959189857	2.777014286	26438028.57	2687571.429	24108.02857	0.312820714	0.109436429	0.74618	0.472344
169	13	23.742	94.944	30.798	70.176	6	36.95	14	6	14	7	14	33	4	10.8	15.344	0.401186571	0.731504571	5.62707	68.90175714	0.99992	3.019381429	31371285.71	6343445.714	412440.7143	0.241956429	0.0596056	0.614728429	0.403946
170	13	34.722	79.008	22.698	89.376	11	21.23	8	10	21	12	11	36	6	7.216	10.928	0	0.010865514	3.583375714	4.583614286	0.99992	2.75284	33511571.43	14583542.86	9725921.429	0.988512143	0.811898429	1.210812857	0.684519286
171	18	33.642	62.88	28.278	143.328	2	26.39	12	6	46	10	5	24	5	19.76	10.768	0	0.009754663	3.560994286	4.560685714	0.536237143	5.913118571	35371085.71	1938102.857	12948100	0.989658571	0.814522857	1.214912857	0.683270286
172	22	24.498	111.264	32.706	120.864	12	31.91	7	12	30	10	7	31	4	4.976	16.048	0	0.00965052	3.544791429	4.544212857	0.99992	2.754545714	32174457.14	10440885.71	1224074.286	0.989754857	0.815442143	1.218011429	0.682076
173	23	29.826	103.008	25.938	89.184	5	46.67	12	12	12	12	14	28	4	6.352	19.696	0.633457429	0.868679286	5.988014286	174.1858571	0.99992	3.359174286	35943871.43	22872828.57	1802047.143	0.106368143	0.0229737	0.568098714	0.382502429
