Simulation;const ed num Emergency Room;const mipw time Treatment LOS[mbed2];const mipw time Treatment LOS[mbed3];const sipw time Treatment LOS[mbed2];const sipw time Treatment LOS[mbed3];const surg num PostOp Beds;edMeanValue ppd;init L MEDBED AVAIL[mbed1];init L MEDBED AVAIL[mbed2];init L MEDBED AVAIL[mbed3];init L SURGBED AVAIL[mbed1];init L SURGBED AVAIL[mbed2];init L SURGBED AVAIL[mbed3];init L SURGERY OR AVAIL;isuMeanValue ppd;osuMeanValue ppd;f1pcntEDLWBS;f2pcntEDRMBLKD;f3timeEDdischarge;f4timeEDadmission;f5pcntSUcompletion;f6timeSUcompletion;f7numICUoccupy;f8numPCUoccupy;f9numACUoccupy;yOEE1avail;yOEE1c;yOEE1perf;yOEE1qual
39;14;34.902;121.824;18.954;106.848;5;49.31;9;10;14;7;12;47;2;15.44;12.336;0.657068571;0.809531429;6.014.115.714;104.219;0.836400143;5.020.191.429;26236900;7.454.262.857;59065;0.172663;0.037513786;0.571678429;0.382501
40;17;24.426;91.872;30.042;122.784;11;22.31;5;13;20;6;10;17;3;11.696;13.968;0;0.00873163;3.540.754.286;4.540.065.714;0.297614857;261.377;31059928.57;22533800;7.008.461.429;0.990723714;0.815915714;1.218.302.857;0.681682714
41;18;25.362;100.32;30.078;74.784;4;33.65;12;13;35;11;7;26;5;10.288;7.216;0;0.012438343;3.523.157.143;4.522.311.429;0.845697571;1.174.885.714;31924671.43;4552790;1.319.782.857;0.986789;0.813880429;1.221.581.429;0.680656
42;20;30.042;106.464;28.746;85.92;12;32.15;11;14;36;5;6;37;6;6.288;8.592;0;0.0106954;3.544.027.143;4.543.448.571;0.99992;2.769.832.857;30408128.57;9.149.067.143;7.666.225.714;0.988651429;0.814568143;1.218.164.286;0.682018429
43;14;26.19;110.88;28.53;128.544;6;45.05;7;8;27;6;7;15;3;13.008;11.312;0.180910571;0.589564857;4.838.935.714;3.782.965.714;0.266073857;3.310.918.571;31716557.14;8.658.594.286;2.237.714.286;0.371009;0.120176;0.722564714;0.454085143
44;21;33.534;85.152;21.798;108.576;4;44.03;6;9;37;7;6;46;6;8.368;7.856;0;0.013950286;3.497.365.714;4.496.187.143;0.847957286;1.305.921.429;24490357.14;7.870.535.714;4.164.122.857;0.985156714;0.813873714;1.225.895.714;0.679084
45;22;25.866;60.384;31.662;143.52;10;26.21;9;6;45;9;8;38;5;4.912;17.456;0;0.007926656;3.565.335.714;4.565.074.286;0.99992;2.747.458.571;33644914.29;6.108.444.286;17992057.14;0.991586143;0.815986286;1.214.442.857;0.683448714
46;20;27.342;87.84;21.762;69.216;6;34.85;10;8;22;12;15;47;2;16.528;19.28;0;0.012477357;3.533.955.714;467.812;0.676687429;5.221.848.571;26722285.71;1.726.021.429;6.477.935.714;0.986949571;0.807436143;121.327;0.679930143
47;13;26.334;51.168;25.074;124.128;7;32.33;7;10;23;14;11;37;4;8.528;4.336;0;0.016546529;3.543.417.143;4.542.827.143;0.99992;2.781.417.143;31527628.57;7.710.614.286;1.338.801.429;0.982474857;0.809457286;1.218.267.143;0.681981143
48;20;19.602;126.432;33.678;109.728;10;40.79;14;10;17;9;7;13;7;12.496;11.888;0.467236714;0.810982571;568.854;1.144.384.286;0.252085;5.691.275.714;37392414.29;18574857.14;2.237.684.286;0.152580429;0.035341814;0.597183857;0.389917143
49;9;21.114;52.704;32.454;69.408;10;42.23;11;6;32;5;9;26;3;14.128;5.136;0;0.031219871;3.513.832.857;451.278;0.717860857;2.829.862.857;27517971.43;1.211.984.286;4.968.957.143;0.966873857;0.797644143;1.223.071.429;0.679986571
50;15;18.666;143.904;25.65;89.952;6;43.61;5;6;43;9;11;15;6;9.488;16.336;0;0.019343986;3.483.055.714;4.481.852.857;0.325398571;3.453.685.714;29771142.86;7099260;2.674.158.571;0.979405;0.809998;1.228.518.571;0.678234143
51;17;35.19;117.408;24.39;88.416;3;28.25;14;9;24;11;11;36;5;16.944;18.64;0;0.011096771;3.549.308.571;4.557.318.571;0.701966714;7.257.001.429;31532557.14;3.344.727.143;9.270.158.571;0.988250429;0.813721429;1.216.862.857;0.682348286
52;19;20.466;139.68;29.574;103.008;5;40.43;10;13;43;13;11;14;5;11.28;4.528;0;0.014158086;3.480.537.143;447.933;0.318468429;5.815.578.571;35390742.86;18096628.57;2.686.466.286;0.984908286;0.814806857;122.911;0.678053
53;13;32.778;98.784;35.658;127.2;10;40.01;5;6;29;8;14;40;4;14.224;19.632;0;0.020837457;3.513.002.857;4.550.597.143;0.738293286;6.119.782.857;23297100;1.949.718.571;1.417.577.143;0.977981714;0.805546429;1.221.908.571;0.679511714
54;19;29.538;73.248;33.57;57.696;11;24.65;6;9;33;10;9;32;5;14.96;4.656;0;0.008631916;357.276;457.261;0.927757571;2.783.031.429;25769542.86;8.269.211.429;7.821.502.857;0.990849;0.814980857;121.316;0.683923571
55;22;34.65;71.328;29.034;133.152;8;22.25;15;6;49;13;12;25;4;12.4;14.256;0;0.006729083;3.546.782.857;4.546.227.143;0.436031571;1.862.572.857;36443500;11455985.71;12743671.43;0.992837286;0.817429143;1.217.255.714;0.682115
56;9;35.154;114.912;23.814;128.16;11;36.41;13;13;38;10;7;35;2;4.24;15.888;0;0.0269172;3.530.514.286;4.529.648.571;0.999908429;4.469.541.429;34572900;11218100;3.063.137.143;0.971481857;0.800729;1.220.284.286;0.681097857
57;10;20.754;140.256;32.742;79.968;8;48.89;11;13;48;10;6;41;3;8.432;10.416;1,50E-01;0.032528857;3.487.622.857;4.486.414.286;0.671669857;1.282.824.286;30711685.71;2.362.347.143;1.911.778.571;0.965397286;0.796002286;1.226.867.143;0.677180857
58;22;22.626;86.496;26.154;86.496;12;31.49;5;10;16;8;9;45;5;10.48;19.472;0.116577286;0.707791286;4.535.051.429;8.692.328.571;0.99992;2.757.005.714;24770057.14;4466190;2291100;0.191645143;0.075214243;0.759120857;0.492636286
59;14;35.046;123.552;35.37;104.544;10;37.07;8;9;46;9;13;25;5;8.112;19.248;0;0.017617429;351.198;4.510.932.857;0.640789143;1.121.477.143;30274214.29;8.532.345.714;4.661.598.571;0.981292286;0.809944;1.223.721.429;0.679866143
60;14;28.782;60.768;19.602;110.496;4;27.05;10;10;15;13;9;23;7;8.624;13.584;0;0.0128555;3.542.912.857;4.542.334.286;0.738739143;136.486;34040914.29;10430914.29;4.118.037.143;0.986372571;0.812523286;121.824;0.681876429
61;23;31.734;111.648;29.25;118.368;7;43.01;6;14;17;8;15;26;7;18.832;8.784;0.478382857;0.827450143;5.726.514.286;1.290.115.714;0.429439286;2.517.325.714;30120714.29;20670000;2.236.867.143;0.137469571;0.031493343;0.592561143;0.389261
62;20;25.974;83.616;30.222;121.824;8;27.11;11;14;36;9;11;41;2;11.056;7.248;0;0.009018706;3.562.354.286;4.562.058.571;0.978685714;3.941.414.286;30307785.71;10169840;2.938.937.143;0.990434143;0.815134714;1.214.924.286;0.683244429
63;24;18.09;124.128;19.998;85.536;11;36.05;8;9;27;8;9;47;5;18.864;6.128;0;0.202463429;3.528.621.429;231.088;0.857149714;4.986.614.286;22869171.43;5.104.828.571;1.730.447.143;0.762851286;0.527872714;1.041.661.429;0.664639286
64;12;29.034;69.216;24.606;87.648;8;39.95;10;10;25;12;15;43;5;10.032;4.56;0;0.022150571;3.519.114.286;4.518.132.857;0.99992;2.787.772.857;30091885.71;7.404.082.857;2.281.958.571;0.976504857;0.805487429;1.222.255.714;0.680374143
65;10;21.33;52.512;20.178;139.104;12;45.47;10;14;42;10;15;49;4;17.104;5.648;0;0.030253629;3.506.177.143;4.505;0.817351857;2.786.697.143;26755985.71;8.082.397.143;1.867.221.429;0.967877571;0.798868429;1.224.178.571;0.679618571
66;14;27.414;87.648;24.642;100.512;3;48.41;6;11;25;12;14;43;4;10.064;13.488;0.147618;0.548039571;4.759.624.286;3.215.072.857;0.918344571;6.259.974.286;27443942.86;6.917.818.571;2.777.377.143;0.418898;0.143757429;0.744416857;0.466153429
67;16;30.294;109.152;26.37;126.624;5;37.19;6;13;36;10;7;17;5;17.424;19.728;0;0.015465329;3.496.222.857;4.495.084.286;0.227298429;3.217.121.429;32791057.14;13864857.14;4.819.847.143;0.983550286;0.812677143;1.226.325.714;0.678958571
68;16;28.206;58.656;27.342;74.016;7;23.09;8;12;31;9;8;45;5;16.496;9.392;0;0.009601729;355.522;4.554.797.143;0.697080571;1.166.927.143;27732671.43;4.162.864.286;13587157.14;0.989817;0.814671286;12.159;0.682731714
