numER;mLOSmbed2;mLOSmbed3;sLOSmbed2;sLOSmbed3;numPOB;edMV;iMAmbed1;iMAmbed2;iMAmbed3;iSAmbed1;iSAmbed2;iSAmbed3;iSOA;iMV;osuMV;f1EDLWBS;f2EDRMBLKD;f3tEDd;f4tEDa;f5pSUc;f6tSUc;f7nCUo;f8nPCUo;f9nACUo;yOEE1c
20;19602;126432;33678;109728;10;40.79;14;10;17;9;7;13;7;12496;11888;0.467236714;0.810982571;568854;1144384286;0.252085;5691275714;37392414.29;18574857.14;2237684286;0.035341814
9;21114;52704;32454;69408;10;42.23;11;6;32;5;9;26;3;14128;5136;0;0.031219871;3513832857;451278;0.717860857;2829862857;27517971.43;1211984286;4968957143;0.797644143
15;18666;143904;25.65;89952;6;43.61;5;6;43;9;11;15;6;9488;16336;0;0.019343986;3483055714;4481852857;0.325398571;3453685714;29771142.86;7099260;2674158571;0.809998
17;35.19;117408;24.39;88416;3;28.25;14;9;24;11;11;36;5;16944;18.64;0;0.011096771;3549308571;4557318571;0.701966714;7257001429;31532557.14;3344727143;9270158571;0.813721429
19;20466;139.68;29574;103008;5;40.43;10;13;43;13;11;14;5;11.28;4528;0;0.014158086;3480537143;447933;0.318468429;5815578571;35390742.86;18096628.57;2686466286;0.814806857
13;32778;98784;35658;127.2;10;40.01;5;6;29;8;14;40;4;14224;19632;0;0.020837457;3513002857;4550597143;0.738293286;6119782857;23297100;1949718571;1417577143;0.805546429
19;29538;73248;33.57;57696;11;24.65;6;9;33;10;9;32;5;14.96;4656;0;0.008631916;357276;457261;0.927757571;2783031429;25769542.86;8269211429;7821502857;0.814980857
22;34.65;71328;29034;133152;8;22.25;15;6;49;13;12;25;4;12.4;14256;0;0.006729083;3546782857;4546227143;0.436031571;1862572857;36443500;11455985.71;12743671.43;0.817429143
9;35154;114912;23814;128.16;11;36.41;13;13;38;10;7;35;2;4.24;15888;0;0.0269172;3530514286;4529648571;0.999908429;4469541429;34572900;11218100;3063137143;0.800729
10;20754;140256;32742;79968;8;48.89;11;13;48;10;6;41;3;8432;10416;0;0.032528857;3487622857;4486414286;0.671669857;1282824286;30711685.71;2362347143;1911778571;0.796002286
22;22626;86496;26154;86496;12;31.49;5;10;16;8;9;45;5;10.48;19472;0.116577286;0.707791286;4535051429;8692328571;0.99992;2757005714;24770057.14;4466190;2291100;0.075214243
14;35046;123552;35.37;104544;10;37.07;8;9;46;9;13;25;5;8112;19248;0;0.017617429;351198;4510932857;0.640789143;1121477143;30274214.29;8532345714;4661598571;0.809944
14;28782;60768;19602;110496;4;27.05;10;10;15;13;9;23;7;8624;13584;0;0.0128555;3542912857;4542334286;0.738739143;136486;34040914.29;10430914.29;4118037143;0.812523286
23;31734;111648;29.25;118368;7;43.01;6;14;17;8;15;26;7;18832;8784;0.478382857;0.827450143;5726514286;1290115714;0.429439286;2517325714;30120714.29;20670000;2236867143;0.031493343
20;25974;83616;30222;121824;8;27.11;11;14;36;9;11;41;2;11056;7248;0;0.009018706;3562354286;4562058571;0.978685714;3941414286;30307785.71;10169840;2938937143;0.815134714
24;18.09;124128;19998;85536;11;36.05;8;9;27;8;9;47;5;18864;6128;0;0.202463429;3528621429;231088;0.857149714;4986614286;22869171.43;5104828571;1730447143;0.527872714
